RVLR MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RVLR MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 80
RVLR MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 9
RVLR MFG,2015,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 1 15 10 10 8 49
RVLR MFG,2016,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 30 0 1 6 25 20 82
RVLR MFG,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RVLR MFG,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 98
RVLR MFG,2016,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 18 12 14 10 65
RVLR MFG,2017,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 13 0 0 6 21 8 48
RVLR MFG,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RVLR MFG,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 53
RVLR MFG,2017,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 3 10 11 1 36
RVLR MFG,2018,60600763 STULR—M’, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 21 0 0 41 23 8 93
RVLR MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RVLR MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RVLR MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 48
RVLR MFG,2018,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 2 21 3 5 1 38
SHOTGUN EXP,2013,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 2 2 14
SHOTGUN EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 25
SHOTGUN EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 4
SHOTGUN EXP,2013,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 1 3 4 18
SHOTGUN EXP,2014,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 20 0 21 10 56
SHOTGUN EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 2
SHOTGUN EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 73
SHOTGUN EXP,2014,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 10 5 15 8 10 1 49
SHOTGUN EXP,2015,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 37 0 0 14 25 15 91
SHOTGUN EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
SHOTGUN EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 80
SHOTGUN EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 9
SHOTGUN EXP,2015,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 1 15 10 10 8 49
SHOTGUN EXP,2016,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 30 0 1 6 25 20 82
SHOTGUN EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
SHOTGUN EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 98
SHOTGUN EXP,2016,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 18 12 14 10 65
SHOTGUN EXP,2017,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 13 0 0 6 21 8 48
SHOTGUN EXP,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
SHOTGUN EXP,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 53
SHOTGUN EXP,2017,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 3 10 11 1 36
SHOTGUN EXP,2018,60600763 STULR—M’, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 21 0 0 41 23 8 93
SHOTGUN EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
SHOTGUN EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
SHOTGUN EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 48
SHOTGUN EXP,2018,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 2 21 3 5 1 38
SHOTGUN MFG,2013,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 2 2 14
SHOTGUN MFG,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 25
SHOTGUN MFG,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 4
SHOTGUN MFG,2013,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 1 3 4 18
SHOTGUN MFG,2014,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 20 0 21 10 56
