PISTOL EXP,2018,98614472 STU RM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 73443 0 0 118778 299412 23715 515348
PISTOL EXP,2018,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 32
PISTOL EXP,2018,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 6
PISTOL EXP,2018,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 8276
PISTOL EXP,2018,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 0 0 0 1 0 0 1
PISTOLS MFG,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 2047
PISTOLS MFG,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 210
PISTOLS MFG,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 4622
PISTOLS MFG,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 86429 0 0 0 94433 52736 233598
PISTOLS MFG,2001,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1434
PISTOLS MFG,2001,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1670
PISTOLS MFG,2001,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 259
PISTOLS MFG,2001,98614472 STURM RUGER 8 co INC 200 RUGER RD PRESCOTT AZ 40378 0 0 47815 24654 112847
PISTOLS MFG,2002,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 107
PISTOLS MFG,2002,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1309
PISTOLS MFG,2002,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 3305
PISTOLS MFG,2002,98614472 STURM RUGER 8 co INC 200 RUGER RD PRESCOTT AZ 62340 0 0 0 21609 30921 114870
PISTOLS MFG,2003,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1257
PISTOLS MFG,2003,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1274
PISTOLS MFG,2003,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 80
PISTOLS MFG,2003,98614472 STURM, RUGER 8 co INC :00 RUGER RD PRESCOTT AZ 62401 0 0 0 21888 14133 98422
PISTOLS MFG,2004,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1172
PISTOLS MFG,2004,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 135
PISTOLS MFG,2004,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 2351 0 0 0 0 0 2351
PISTOLS MFG,2004,98614472 STURM, RUGER 8 co INC 200 RUGER RD PRESCOTT AZ 45099 0 0 0 20475 33428 99002
PISTOLS MFG,2005,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 1927
PISTOLS MFG,2005,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 618
PISTOLS MFG,2005,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT AZ 51
PISTOLS MFG,2005,98614472 mTéJRM, RUGER & COMPANY, :00 RUGER RD PRESCOTT AZ 59454 0 0 0 35410 30193 125057
PISTOLS MFG,2006,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 52157 0 0 0 22213 26606 100976
PISTOLS MFG,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2919
PISTOLS MFG,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 35
PISTOLS MFG,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 6
PISTOLS MFG,2006,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 0 0 0 0 9463 0 9463
PISTOLS MFG,2006,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 71
PISTOLS MFG,2007,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 0 0 0 0 2314 0 2314
PISTOLS MFG,2007,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 74477 0 0 0 44221 21565 140263
PISTOLS MFG,2007,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2868
PISTOLS MFG,2007,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 65
PISTOLS MFG,2008,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 59628 0 0 83161 53772 14500 211061
PISTOLS MFG,2008,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 5129
PISTOLS MFG,2008,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 7
PISTOLS MFG,2008,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 2
PISTOLS MFG,2009,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 82089 0 0 198844 94109 25551 400593
PISTOLS MFG,2009,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 120
PISTOLS MFG,2009,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 7122
PISTOLS MFG,2010,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 11703
PISTOLS MFG,2010,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 94777 0 0 255789 101911 19443 471920
PISTOLS MFG,2011,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 98265 0 0 176778 273615 62267 610925
PISTOLS MFG,2011,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 13798
PISTOLS MFG,2012,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 250677 0 0 195323 314334 101023 861357
PISTOLS MFG,2012,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 6
PISTOLS MFG,2012,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT AZ 1
PISTOLS MFG,2012,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT AZ 8802
PISTOLS MFG,2013,98614472 STU RM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 318861 0 0 324983 323440 146426 1113710
PISTOLS MFG,2013,98614472 STURM, RUGER & COM PANY, INC 200 RUGER RD PRESCOTT AZ 9038
PISTOLS MFG,2013,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 19
PISTOLS MFG,2013,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2
PISTOLS MFG,2013,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 5
PISTOLS MFG,2014,98614472 STU RM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 195498 0 159293 253419 110503 718713
